ad,sektor,tip,takipci,etkilesim,platform,aciklama
Aykut Elmas,Eğlence,🔴 1. MEGA INFLUENCER (1M+ takipçi),7500000,6.2,Instagram,Turkiyenin en istikrarli ve sevilen mizah/vine icerik ureticilerinden.
Enes Batur,Eğlence,🔴 1. MEGA INFLUENCER (1M+ takipçi),5200000,5.8,Instagram,Yuksek produksiyonlu eglence videolari ureten ve YouTube mecrasinda da cok aktif olan isim.
Uberkuloz (Berk Keklik),Eğlence,🔴 1. MEGA INFLUENCER (1M+ takipçi),4600000,8.5,Instagram,Yuksek produksiyonlu roportaj ve absurt mizah icerikleri ureticisi.
Hasan Can Kaya,Eğlence,🔴 1. MEGA INFLUENCER (1M+ takipçi),4300000,7.1,Instagram,Konusanlar programi ile dijital komedinin zirvesinde yer alan komedyen.
Gökhan Ünver,Eğlence,🔴 1. MEGA INFLUENCER (1M+ takipçi),3200000,7.8,Instagram,Guncel tespit mizahi ve skecleriyle Instagramin en yuksek etkilesimli yuzlerinden.
Sevdalinka (Ceyda Kasabalı),Eğlence,🔴 1. MEGA INFLUENCER (1M+ takipçi),3000000,8.2,Instagram,Noluyo Ya YouTube kanaliyla da bilinen en samimi icerik ureticisi.
Fırat Albayram,Eğlence,🔴 1. MEGA INFLUENCER (1M+ takipçi),1500000,6.9,Instagram,Noluyo Ya ekibinin diger yarisi - Dogal komedi ve vlog icerikleri.
Kafalar,Eğlence,🔴 1. MEGA INFLUENCER (1M+ takipçi),1300000,5.2,Instagram,Kiskirtma ve zorlu gorev konseptleriyle YouTube uzerinde de oncu eglence grubu.
Tolga Çevik,Eğlence,🔴 1. MEGA INFLUENCER (1M+ takipçi),1200000,4.8,Instagram,Arkadasim Hosgeldin ve Tolgshow ile taninan usta tiyatrocu ve komedyen.
Eser Yenenler,Eğlence,🔴 1. MEGA INFLUENCER (1M+ takipçi),1100000,4.5,Instagram,Talk show ve aile hayati temali eglenceli dijital icerik ureticisi.
CZN Burak,Gıda & Gastronomi,🔴 1. MEGA INFLUENCER (1M+ takipçi),51400000,4.2,Instagram,Global captaki devasa porsiyonlu yemek videolari ve yardim kampanyalariyla taninan sef.
Nusret,Gıda & Gastronomi,🔴 1. MEGA INFLUENCER (1M+ takipçi),50500000,3.8,Instagram,SaltBae akimiyla dunya capinda bir fenomene donusen et restoranlari zinciri sahibi sef.
Arda Türkmen,Gıda & Gastronomi,🔴 1. MEGA INFLUENCER (1M+ takipçi),2200000,5.1,Instagram,Ardanin Mutfagi programiyla klasiklesen pratik ve lezzetli tarifler sunan ekran yuzu sef.
Danilo Zanna,Gıda & Gastronomi,🔴 1. MEGA INFLUENCER (1M+ takipçi),2200000,6.4,Instagram,MasterChef Turkiye jurisi sempatik tavirlari ve Italyan-Turk fuzyon mutfagi icerikleriyle populer.
Refika Birgül,Gıda & Gastronomi,🔴 1. MEGA INFLUENCER (1M+ takipçi),1700000,6.8,Instagram,Refikanin Mutfagi kanaliyla yemek kulturunu ve pratik tarifleri YouTube uzerinde de sunan isim.
Mehmet Yalçınkaya,Gıda & Gastronomi,🔴 1. MEGA INFLUENCER (1M+ takipçi),1500000,5.5,Instagram,MasterChefin usta jurisi geleneksel Turk mutfagi ve esnaf lokantasi kulturunu yansitan sef.
Somer Sivrioğlu,Gıda & Gastronomi,🔴 1. MEGA INFLUENCER (1M+ takipçi),1300000,5.9,Instagram,Avustralya ve Turkiye arasinda gastronomi kopruleri kuran MasterChef jurisi usta sef.
Webtekno,Teknoloji,🔴 1. MEGA INFLUENCER (1M+ takipçi),1600000,5.4,Instagram,Teknoloji dunyasindan guncel haberler urun incelemeleri sunan YouTube tabanli platform.
Ekin Kollama,Teknoloji,🔴 1. MEGA INFLUENCER (1M+ takipçi),1100000,6.5,Instagram,Teknoloji ve otomobil incelemeleri ureten ve YouTube mecrasinda da aktif olan populer isim.
Gamze Erçel,Yaşam Tarzı,🔴 1. MEGA INFLUENCER (1M+ takipçi),4500000,5.8,Instagram,Aile yasantisi sik giyim tarzi ve gunluk estetik yasam kesitleriyle yuksek erisime sahip influencer.
Duygu Özaslan,Yaşam Tarzı,🔴 1. MEGA INFLUENCER (1M+ takipçi),1800000,6.2,Instagram,Moda makyaj trendleri seyahat ve luks yasam tarzi konseptli icerikleriyle oncu isimlerden.
Danla Bilic,Yaşam Tarzı,🔴 1. MEGA INFLUENCER (1M+ takipçi),5600000,7.9,Instagram,Makyaj videolariyla baslayip Turkiyenin en populer yasam tarzi ikonlarindan birine donusen isim.
Rachel Araz,Yaşam Tarzı,🔴 1. MEGA INFLUENCER (1M+ takipçi),1000000,5.5,Instagram,Yuksek moda cemiyet hayati renkli aile vloglari ve kreatif kombin icerikleri ureten influencer.
Cem Özkök,Yaşam Tarzı,🔴 1. MEGA INFLUENCER (1M+ takipçi),5500000,8.1,Instagram,Dogal yasam surdurulebilirlik motivasyon ve asiri tatmin edici temizlik/duzen videolariyla bilinen uretici.
Danla Bilic,Kozmetik,🔴 1. MEGA INFLUENCER (1M+ takipçi),5600000,7.9,Instagram,Makyaj incelemeleri guzellik trendleri ve kozmetik dunyasinin en populer yuzu.
Duygu Özaslan,Kozmetik,🔴 1. MEGA INFLUENCER (1M+ takipçi),1800000,6.2,Instagram,Cilt bakimi rutinleri makyaj koleksiyonlari ve kozmetik urun rehberleri.
Şeyda Erdoğan,Kozmetik,🔴 1. MEGA INFLUENCER (1M+ takipçi),1700000,6.5,Instagram,Kreatif/sanatsal makyaj donusumleri urun incelemeleri ve guzellik rutinleri paylasan populer icerik ureticisi.
Selin Ciğerci,Kozmetik,🔴 1. MEGA INFLUENCER (1M+ takipçi),3900000,5.2,Instagram,Kendi kozmetik markasinin kurucusu guzellik merkezi zinciri sahibi ve gunluk kisisel bakim icerikli influencer.
Elraen (Tuğkan Gönültaş),Oyun,🔴 1. MEGA INFLUENCER (1M+ takipçi),2700000,8.9,Instagram,Twitch platformunun en cok izlenen samimi hikaye anlaticisi ve yayincisi.
Pqueen (Pelin Baynazoğlu),Oyun,🔴 1. MEGA INFLUENCER (1M+ takipçi),1200000,8.2,Instagram,Twitch uzerinde yuksek enerjili canli yayinlariyla oncu kadin yayinci.
Barış Özcan,Eğitim-Bilim-Genel Kültür,🔴 1. MEGA INFLUENCER (1M+ takipçi),1400000,7.2,Instagram,Sanat tasarım teknoloji konulariyla YouTube uzerinde devasa kitleye ulasan hikaye anlaticisi.
Ruhi Çenet,Eğitim-Bilim-Genel Kültür,🔴 1. MEGA INFLUENCER (1M+ takipçi),1400000,6.9,Instagram,Dunyayi gezerek sir disi belgeseller ve arastirma iceriklerini YouTube uzerinden sunan yapimci.
Mehmet Kahraman,Eğlence,🟠 2. MACRO INFLUENCER (100K – 1M),697000,9.2,Instagram,Mizahi skecleri ve guncel hayat tespitleriyle Instagram mecrasinda yuksek etkilesimli uretici.
Ceren Morova Özer,Eğlence,🟠 2. MACRO INFLUENCER (100K – 1M),740000,8.8,Instagram,Eglenceli aile hayati gunluk vloglar ve samimi yasam tarzi icerikleri sunan isim.
Mahsun Karaca (Röportaj Adam),Eğlence,🟠 2. MACRO INFLUENCER (100K – 1M),737000,11.5,Instagram,Sinema ve YouTube dunyasinda da cok aktif olan populer komedyen.
Deep Turkish Web,Eğlence,🟠 2. MACRO INFLUENCER (100K – 1M),705000,9.8,Instagram,Absurt mizah akiminin onculerinden olan ve YouTube uzerinde de buyuk kitlesi bulunan ekip.
Sinan Hamamsarılar (Tat Dedektifi),Gıda & Gastronomi,🟠 2. MACRO INFLUENCER (100K – 1M),353000,7.1,Instagram,Gurme lezzet kesifleri ve gastronomi kulturunu inceleyen uretici.
Harbi Yiyorum,Gıda & Gastronomi,🟠 2. MACRO INFLUENCER (100K – 1M),742000,6.5,Instagram,Sokak lezzetleri ve restoran incelemeleriyle Türkiye gastronomi haritasini cikaran platform.
Ayşenur Altan,Gıda & Gastronomi,🟠 2. MACRO INFLUENCER (100K – 1M),116000,7.8,Instagram,Pratik ev yemekleri tarifleriyle YouTube uzerinde de genis kitlelere ulasan uretici.
Kartal Gökberk,Gıda & Gastronomi,🟠 2. MACRO INFLUENCER (100K – 1M),367000,8.2,Instagram,Yemek tarifleri ve eglenceli mutfak deneyleriyle bilinen gastronomi odakli dijital yuz.
Can Değer,Teknoloji,🟠 2. MACRO INFLUENCER (100K – 1M),528000,10.4,Instagram,Siber guvenlik ve yazilim konularinda YouTube platformunda da oncu olan donanimli uretici.
ShiftDelete.Net,Teknoloji,🟠 2. MACRO INFLUENCER (100K – 1M),643000,6.2,Instagram,Turkiyenin en buyuk teknoloji haber ve urun inceleme sitelerinden birinin ana sosyal medya hesabi.
Hakkı Alkan,Teknoloji,🟠 2. MACRO INFLUENCER (100K – 1M),689000,7.4,Instagram,ShiftDeleteNet kurucusu teknoloji dunyasinin icinden canli yayinlar ve vloglar ureten popüler yuz.
Mendebur Lemur (Hakan Utangaç),Teknoloji,🟠 2. MACRO INFLUENCER (100K – 1M),680000,9.5,Instagram,Ilginc teknolojik urun denemeleri ve YouTube uzerindeki sira disi incelemeleri.
Cansu Dengey,Yaşam Tarzı,🟠 2. MACRO INFLUENCER (100K – 1M),357000,8.1,Instagram,Kisisel gelisim kitap sohbetleri seyahat ve estetik yasam tarzi icerikleriyle one cikan uretici.
Damla Altun,Yaşam Tarzı,🟠 2. MACRO INFLUENCER (100K – 1M),914000,9.3,Instagram,Moda kombin onerileri seyahat gunlukleri ve YouTube vloglari ile bilinen influencer.
Ece Targıt,Yaşam Tarzı,🟠 2. MACRO INFLUENCER (100K – 1M),255000,8.7,Instagram,Yoga wellness zihinsel saglik ve sade yasam pratikleri uzerine icerik ureten donanimli isim.
Bestami Erol (Seyyahart),Yaşam Tarzı,🟠 2. MACRO INFLUENCER (100K – 1M),318000,10.1,Instagram,Anadolu kulturunu gezilerini ve samimi insan hikayelerini tasiyan uretici.
Bengü Tiryaki,Yaşam Tarzı,🟠 2. MACRO INFLUENCER (100K – 1M),127000,7.9,Instagram,Moda tasarim dekorasyon fikirleri ve seyahat kesitleriyle niş bir kitleye hitap eden influencer.
Melodi Elbirliler,Yaşam Tarzı,🟠 2. MACRO INFLUENCER (100K – 1M),689000,8.5,Instagram,Guzellik bakim moda trendleri ve kaliteli lifestyle gorselleriyle dikkat ceken uretici.
Yağmur Vardar,Kozmetik,🟠 2. MACRO INFLUENCER (100K – 1M),429000,11.2,Instagram,Cilt bakimi icerik analizi ve YouTube kanaliyla bilinen bilime dayali kozmetik uzmani.
Çisem Çakır,Kozmetik,🟠 2. MACRO INFLUENCER (100K – 1M),291000,10.8,Instagram,Bilincli tuketim cilt bakimi bilesen analizleri ve temiz guzellik rutinleri sunan populer isim.
Görkem Karman,Kozmetik,🟠 2. MACRO INFLUENCER (100K – 1M),375000,9.4,Instagram,Kozmetik urun deneyimleri tarafsiz makyaj elestirileri ve sektorel tavsiyeleriyle guvenilen isim.
Melodi Elbirliler,Kozmetik,🟠 2. MACRO INFLUENCER (100K – 1M),689000,8.5,Instagram,Cilt bakimi rutinleri makyaj teknikleri ogretimi ve kozmetik marka is birlikleri.
Damla Altun,Kozmetik,🟠 2. MACRO INFLUENCER (100K – 1M),914000,9.3,Instagram,Donemsel favori makyaj urunleri pratik guzellik sirlari ve kozmetik vloglari.
Enis Kirazoğlu,Oyun,🟠 2. MACRO INFLUENCER (100K – 1M),479000,12.4,Instagram,Oyun dunyasi elestirileri haberleri ve YouTube mecrasindaki yuksek basarili hikaye anlatimi videolari.
PintiPanda (Tuna Akşen),Oyun,🟠 2. MACRO INFLUENCER (100K – 1M),187000,8.1,Instagram,YouTube ve Twitch uzerinde canli yayin yapan oyun dunyasinin en saygideger ismi.
Easter Gamers TV (Mete Özbey),Oyun,🟠 2. MACRO INFLUENCER (100K – 1M),200000,8.5,Instagram,YouTube uzerinde oyun serileri ve eglenceli canli yayinlariyla bilinen isim.
Wtcn (Ferit Karakaya),Oyun,🟠 2. MACRO INFLUENCER (100K – 1M),670000,11.1,Instagram,Eski e-sporcu Twitch platformunun en cok izlenen oncu yayincilarindan biri.
Dora Özsoy,Oyun,🟠 2. MACRO INFLUENCER (100K – 1M),158000,9.0,Instagram,Stratera kanaliyla bilinen oyun tasarimciligi ve YouTube oyun icerikleri ureticisi.
Akademiklink (Behçet Yalın Özkara),Eğitim-Bilim-Genel Kültür,🟠 2. MACRO INFLUENCER (100K – 1M),943000,10.5,Instagram,Akademik hayati mizahla harmanlayarak YouTube uzerinde buyuk kitle yakalayan profesor.
Evrim Ağacı (Çağrı Mert Bakırcı),Eğitim-Bilim-Genel Kültür,🟠 2. MACRO INFLUENCER (100K – 1M),787000,11.2,Instagram,Evrimsel biyoloji populer bilim makaleleri ve YouTube bilim platformu.
Gri Koç (Gökhan Müftüoğlu),Eğitim-Bilim-Genel Kültür,🟠 2. MACRO INFLUENCER (100K – 1M),463000,7.9,Instagram,Sinav donemleri icin motivasyon planlama ve YouTube rehberlik icerikleri.
Benim Hocam,Eğitim-Bilim-Genel Kültür,🟠 2. MACRO INFLUENCER (100K – 1M),413000,6.8,Instagram,KPSS YKS LGS gibi ulusal sinavlara hazirlik ders videolari sunan YouTube tabanli egitim kanali.
Butik Tarifler,Gıda & Gastronomi,🟡 3. MICRO INFLUENCER (10K – 100K),16000,7.2,Instagram,Butik yemek tarifleri mutfak sirlari ve pratik ev lezzetleri ureticisi.
Vegan Olurken,Gıda & Gastronomi,🟡 3. MICRO INFLUENCER (10K – 100K),14000,6.5,Instagram,Vegan beslenme bitkisel tarifler ve surdurulebilir yasam tarzı ureticisi.
Berk İlter,Gıda & Gastronomi,🟡 3. MICRO INFLUENCER (10K – 100K),73000,8.4,Instagram,Gurme lezzet kesifleri restoran deneyimleri ve sokak lezzetleri incelemeleri.
Bir Lokma Zarafet,Gıda & Gastronomi,🟡 3. MICRO INFLUENCER (10K – 100K),20200,6.9,Instagram,Estetik sunumlar kahve kulturleri ve zarif mutfak konseptleri ureticisi.
Mesut Çevik,Teknoloji,🟡 3. MICRO INFLUENCER (10K – 100K),86000,9.1,Instagram,Teknoloji dunyasindan guncel yorumlar ve YouTube uzerinde de cok aktif olan donanim uzmani.
Kerem Enginar,Teknoloji,🟡 3. MICRO INFLUENCER (10K – 100K),57000,7.8,Instagram,Teknoloji haberleri urun incelemeleri ve mobil dunya odakli icerik ureticisi.
HWP (Hardware Plus),Teknoloji,🟡 3. MICRO INFLUENCER (10K – 100K),46000,6.1,Instagram,Donanim testleri akilli telefon incelemeleri ve teknoloji haber platformu.
TeknoSeyir,Teknoloji,🟡 3. MICRO INFLUENCER (10K – 100K),18000,6.4,Instagram,Bilisim dunyasi incelemeleri bilim ve teknoloji gundemi sunan koklu olusum.
Techyazar,Teknoloji,🟡 3. MICRO INFLUENCER (10K – 100K),36000,7.2,Instagram,Guncel teknolojik urun deneyimleri yazilim onerileri ve dijital dunya rehberi.
Mert Erçel,Yaşam Tarzı,🟡 3. MICRO INFLUENCER (10K – 100K),62000,8.1,Instagram,Sik giyim tarzi gunluk estetik yasam kesitleri ve seyahat vloglari influencerı.
Gezgin Çift,Yaşam Tarzı,🟡 3. MICRO INFLUENCER (10K – 100K),99000,9.4,Instagram,Turkiye ve dunya turlari rotalar gizli kalmis dogal güzellikler seyahat blogu.
Sümeyye Çakıt,Yaşam Tarzı & Kozmetik,🟡 3. MICRO INFLUENCER (10K – 100K),60000,8.2,Instagram,Gunluk yasam kesitleri makyaj rutinleri ve cilt bakimi urun incelemeleri.
Damyhealthy,Yaşam Tarzı,🟡 3. MICRO INFLUENCER (10K – 100K),47400,7.9,Instagram,Saglikli yasam pratikleri beslenme sirlari ve TikTok uzerinde de aktif olan uretici.
Öykü Kek,Kozmetik,🟡 3. MICRO INFLUENCER (10K – 100K),75000,8.7,Instagram,Kreatif makyaj teknikleri donemsel guzellik favorileri ve urun deneyimleri.
Makeupbyebrar,Kozmetik,🟡 3. MICRO INFLUENCER (10K – 100K),12700,6.5,Instagram,Pratik makyaj sirlari uygun fiyatli urun muadilleri ve gunluk bakim rutinleri.
Can Sungur,Oyun,🟡 3. MICRO INFLUENCER (10K – 100K),87000,10.5,Instagram,YouTube ve Twitch uzerinde geek kulturu rol yapma oyunlari ve canli yayin ureticisi.
Atakci Pubg,Oyun,🟡 3. MICRO INFLUENCER (10K – 100K),97000,9.2,Instagram,Mobil oyun dunyasi Pubg performanslari ve eglenceli oyun montajlari ureticisi.
Belen Bakar,Eğitim-Bilim-Genel Kültür,🟡 3. MICRO INFLUENCER (10K – 100K),24000,8.6,Instagram,Tarih sanat sanatsal analizler ve genel kultur odakli estetik icerik ureticisi.
Haluk Tatar,Eğitim-Bilim-Genel Kültür,🟡 3. MICRO INFLUENCER (10K – 100K),90000,7.4,Instagram,Kisisel gelisim dil egitimi ve YouTube uzerinde milyonlara ulasan genel kultur akademisyeni.
Cansu Delbesso,Yaşam Tarzı,🟡 3. MICRO INFLUENCER (10K – 100K),89700,8.4,Instagram,Gunluk eglenceli lifestyle vloglari ve TikTok uzerinde de yuksek izlenmeye sahip influencer.
Tuanna Göbüt,Yaşam Tarzı,🟡 3. MICRO INFLUENCER (10K – 100K),32200,7.9,Instagram,Genc yasam tarzi trend kombinler ve TikTok platformunda populer estetik icerik ureticisi.
İromtalks,Yaşam Tarzı,🟡 3. MICRO INFLUENCER (10K – 100K),49800,8.1,Instagram,Kisisel sohbetler gunluk rutin paylasimlari ve TikTok mecrasinda aktif lifestyle yuzu.
Serra Çınar,Kozmetik,🟡 3. MICRO INFLUENCER (10K – 100K),23300,7.6,Instagram,Makyaj donusumleri urun denemeleri ve TikTok uzerinde de aktif guzellik influencerı.
Mutfakta Biri,Gıda & Gastronomi,🟢 4. NANO INFLUENCER (1K – 10K),1167,9.5,Instagram,Ev yemekleri pratik hamur isleri ve samimi mutfak günlükleri sunan nis uretici.
Lezzet Rotam,Gıda & Gastronomi,🟢 4. NANO INFLUENCER (1K – 10K),1000,9.1,Instagram,Yeni baslayanlar icin kolay mutfak tarifleri ve sehirdeki lezzet duraklari kesif rehberi.
Hayaleturk,Teknoloji,🟢 4. NANO INFLUENCER (1K – 10K),1607,8.4,Instagram,Gamer ekipmanlari setup kisisellestirme ve niş teknolojik aksesuarlar ureticisi.
Yazılım Karavanı,Teknoloji,🟢 4. NANO INFLUENCER (1K – 10K),9500,10.2,Instagram,Yazilima yeni baslayanlar icin ipuclari kodlama tavsiyeleri ve yol haritalari.
Melisa’nın Dünyası,Yaşam Tarzı,🟢 4. NANO INFLUENCER (1K – 10K),1200,9.3,Instagram,Kisisel gunluk ozenli yasam tarzi kesitleri ve mini estetik vloglar.
Busemyblog,Yaşam Tarzı,🟢 4. NANO INFLUENCER (1K – 10K),903,9.8,Instagram,Genc yasam tarzi okul rutinleri ve TikTok uzerinde de aktif kisisel blog hesabi.
Kübra Alparslan,Yaşam Tarzı,🟢 4. NANO INFLUENCER (1K – 10K),1361,8.9,Instagram,Eglenceli gunluk yasam trendleri arkadas sohbetleri ve TikTok paylasimlari.
Gökçe Aybala,Yaşam Tarzı,🟢 4. NANO INFLUENCER (1K – 10K),8570,9.4,Instagram,Estetik yasam tarzi seyahat rotalari ve TikTok uzerinde yuksek bagliliga sahip uretici.
Merve Deniyor,Yaşam Tarzı,🟢 4. NANO INFLUENCER (1K – 10K),6388,10.1,Instagram,Yeni urun ve mekan deneyimleri samimi test videolari ve TikTok icerik yuzu.
İrem Yıldırım,Kozmetik,🟢 4. NANO INFLUENCER (1K – 10K),672,8.7,Instagram,Cilt bakimi favorileri pratik sac bakim rutinleri ve kozmetik urun incelemeleri.
Makeupbyseymayilmaz,Kozmetik,🟢 4. NANO INFLUENCER (1K – 10K),4400,9.0,Instagram,Gelin makyaji teknikleri gunluk dogal guzellik sirlari ve urun tavsiyeleri.
Ceylin İlter (BookTok),Eğitim-Bilim-Genel Kültür,🟢 4. NANO INFLUENCER (1K – 10K),3910,11.2,Instagram,BookTok toplulugunda kitap elestirileri okuma maratonlari ve edebi icerikler ureticisi.
Auna Lovrein (BookTok),Eğitim-Bilim-Genel Kültür,🟢 4. NANO INFLUENCER (1K – 10K),3905,10.9,Instagram,BookTok paylasimlari dunya klasikleri incelemeleri ve estetik kitaplik duzenleri.
Su Akar (BookTok),Eğitim-Bilim-Genel Kültür,🟢 4. NANO INFLUENCER (1K – 10K),1960,9.5,Instagram,Populer kitap elestirileri altini cizdigi satirlar ve BookTok okur gunlugu.
Kubookss (BookTok),Eğitim-Bilim-Genel Kültür,🟢 4. NANO INFLUENCER (1K – 10K),2275,10.4,Instagram,Fantastik roman incelemeleri kitap alisverisi vloglari ve BookTok topluluk uyesi.
Ecem (BookTok),Eğitim-Bilim-Genel Kültür,🟢 4. NANO INFLUENCER (1K – 10K),2088,9.7,Instagram,Aylik okuma listeleri kitap tavsiyeleri ve dunya capinda BookTok trend icerikleri.
Ays (BookTok),Eğitim-Bilim-Genel Kültür,🟢 4. NANO INFLUENCER (1K – 10K),877,9.2,Instagram,Kitap alintilari samimi okuma degerlendirmeleri ve nis BookTok ureticisi.